,Judul berita
71,Bikin Bangga! Peneliti UNAIR Jadi Delegasi Indonesia dalam Lindau Nobel Laureate Meeting 2023
72,"Alami Kenaikan Peringkat, UNAIR Tempati Posisi 345 Dunia"
73,Pentingnya Diversifikasi Makanan Saat Idul Adha
74,UNAIR Teken Kerja Sama Riset Teknologi dengan Produsen Ponsel Pintar OPPO
75,"UNAIR, UGM, IPB Peringkat 3 Nasional Versi THE Asia"
76,Rektor UNAIR Kukuhkan Empat Guru Besar Bidang Kedokteran
77,"Pertama, Rektor Kukuhkan Pasangan Suami Istri Sebagai Guru Besar UNAIR"
78,"Lolos SNBT, Arsinta Jadi Mahasiswa Baru Termuda di UNAIR"
79,Rumah Sakit Terapung UNAIR Masuk Nominasi THE Awards Asia 2023
80,Sebanyak 2.672 Camaba Lolos UNAIR Lewat Jalur SNBT 2023
81,Mahasiswa UNAIR Ciptakan Alat Bantu Skrining Kanker Serviks
82,UNAIR Raih Penghargaan Lembaga Humas Terbaik dalam Indonesia GPR Awards
83,Intip Keketatan Prodi Saintek di Jalur Mandiri UNAIR
84,"Perkuat Kolaborasi, Rektor UNAIR Kunjungi Pukyong National University"
85,Simak Keketatan dan Daya Tampung Prodi Soshum UNAIR pada Seleksi Mandiri
86,Puluhan Ribu Mahasiswa Peserta Kampus Mengajar Selesai Tunaikan Tugas
87,"Raih Silver Medal, Mahasiswa UNAIR Gagas Alat Presensi Berbasis Teknologi"
88,"Buka Konferensi ASAIHL di Tokyo, Rektor UNAIR Ungkap Tantangan Perguruan Tinggi di Masa Mendatang"
89,Rektor UNAIR Bagikan Strategi Kepemimpinan World Class University
90,RSTKA Berikan Pelayanan Kesehatan di Kepulauan Flores NTT
91,UKM Karate DO UNAIR Borong 15 Medali
92,UNAIR Terima Penghargaan Anugerah Merdeka Belajar 2023
93,Putri Mensos Risma Lulus Magister Manajemen UNAIR
94,Doktor Termuda Farmasi Lulus UNAIR di Usia 24 Tahun
95,Seleksi Mandiri Penerimaan Maba UNAIR Dibuka
96,Kuota Terbaru Penerima KIP Kuliah di UNAIR
97,UNAIR Teken MoU Kerja Sama Akademik dengan Hadhramout University
98,UNAIR Semarakkan Parade Surabaya Vaganza Sambut Hari Jadi Ke-730 Kota Surabaya
99,UNAIR Terima Penghargaan Bronze Kategori Medsos dari Berita Jatim
100,"Kontribusi Alumnus UNAIR di SEA Games, Capai Target Perolehan Emas Nasional"
101,Psikolog UNAIR Jadi Sosok di Balik Mental Pemain Timnas Indonesia
102,"BSI Terkena Serangan Siber, Dosen UNAIR Imbau Jaga Data Pribadi"
103,Mawapres UNAIR Bakal Wakili Jatim dalam PILMAPRES Nasional
104,Kiprah Alumnus UNAIR jadi Satu-Satunya Dokter Spesialis Obgyn di Papua
105,"Ciptakan Sabun Kertas Ramah Lingkungan, Mahasiswa UNAIR Ukir Prestasi Internasional"
106,UNAIR dan Lembaga Pendidikan Jerman Bahas Kerja Sama Bidang Riset dan Akademik
107,Rektor Tekankan Pentingnya Transformasi di Kalangan Administratur dan Pengawas
108,"Kukuhkan Enam Guru Besar, Rektor Tekankan Pentingnya Kontribusi Pendidikan"
109,"Perkuat Kerja Sama, Leiden University Lakukan Kunjungan ke UNAIR"
110,UNAIR Semarakkan Peringatan Hardiknas dengan Pakaian Adat Tradisional
111,"Tradisi Mudik Dulu dan Kini, Benarkah Telah Berubah Esensi?"
112,Bangga! Kedokteran dan Kedokteran Gigi UNAIR Peringkat Pertama Nasional versi THE WUR by Subjects
113,UNAIR Siap Sambut Gelaran SNBT 2023
114,Persatuan Dharma Wanita UNAIR Bersama BNI Bagikan 1000 Paket Sembako
115,Menpan RB Ajak Diskusi Mahasiswa UNAIR Soal Reformasi Birokrasi
116,RS UNAIR Jalin Kerja Sama dengan Pusat Kanker di Singapura
117,UNAIR Sabet Penghargaan dalam Anugerah Mendikbud-Ristek
118,Mahasiswa UNAIR Runner-up Research Presentation di University of Cambridge
119,UNAIR Terima 1.835 Mahasiswa Baru Jalur SNBP
